Name,Console Type,Model,Region,Release Date,Bought Date,Company,Product Condition,Has Packaging,Is Duplicate,Has Cables,Has Console,Monetary Value,Notes
Atari 2600,Home,,NTSC,,,Atari,Good,No,No,Yes,Yes,,
Atari 7800,Home,,NTSC,,,Atari,Good,No,No,Yes,Yes,,
Atari 8-Bit,Computer,,NTSC,,,Atari,Good,No,No,No,No,,
MS-DOS,Computer,,INTL,,,,Good,No,No,Yes,Yes,,
Windows 9x,Computer,,INTL,,,,Good,No,No,Yes,Yes,,
Windows NT (x86),Computer,,INTL,,,,Good,No,No,Yes,Yes,,
Windows NT (x64),Computer,,INTL,,,,Good,No,No,Yes,Yes,,
Commodore Amiga 500,Computer,,PAL,,,Commodore,Good,No,No,Yes,Yes,,
Sega Master System,Home,,NTSC,,,Sega,Good,No,No,No,No,,
Sega Genesis,Home,,NTSC,,,Sega,Good,No,No,Yes,Yes,,
Sega Game Gear,Handheld,,US,,,Sega,Good,No,No,Yes,Yes,,
Nintendo Entertainment System,Home,,NTSC,,,Nintendo,Good,No,No,Yes,Yes,,
Nintendo Game Boy,Handheld,,US,,,Nintendo,Good,No,No,Yes,Yes,,
Super Nintendo Entertainment System,Home,,NTSC,,,Nintendo,Good,No,No,Yes,Yes,,
Nintendo 64,Home,,NTSC,,,Nintendo,Good,No,No,Yes,Yes,,
Nintendo GameCube,Home,,NTSC,,,Nintendo,Good,No,No,Yes,Yes,,
Nintendo Game Boy Advance,Handheld,,US,,,Nintendo,Good,No,No,Yes,Yes,,
Nintendo DS,Handheld,,US,,,Nintendo,Good,No,No,Yes,Yes,,
Nintendo Wii,Home,,US,,,Nintendo,Good,No,No,Yes,Yes,,
Nintendo Wii U,Home,,US,,,Nintendo,Good,No,No,Yes,Yes,,
Nintendo 3DS XL,Handheld,,US,,,Nintendo,Good,No,No,Yes,Yes,,
Nintendo Switch,Hybrid,,US,,,Nintendo,Good,No,No,Yes,Yes,,
Sony Playstation,Home,,US,,,Sony,Good,No,No,Yes,Yes,,
Sony Playstation 2,Home,,US,,,Sony,Good,No,No,Yes,Yes,,
Sony Playstation 3,Home,,US,,,Sony,Good,No,No,Yes,Yes,,
Sony Playstation 4,Home,,US,,,Sony,Good,No,No,Yes,Yes,,
Microsoft Xbox 360,Home,,US,,,Microsoft,Good,No,No,Yes,Yes,,
Analogue Super NT,FPGA Home,,INTL,,,Analogue,Good,Yes,No,Yes,Yes,,
Analogue Mega SG,FPGA Home,,INTL,,,Analogue,Good,Yes,No,Yes,Yes,,
Analogue Pocket,FPGA Handheld,,INTL,,,Analogue,Good,Yes,No,Yes,Yes,,
