Name,Edition,Release Date,Bought Date,Region,Digital,Has Game,Has Manual,Has Box,Is Duplicate,Product Condition,Monetary Value,Notes,Developer,Publisher,Console,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Circus Atari,,,,NTSC,No,Yes,No,No,No,Fair, $4.82 ,Wear To Front Label. Missing Top Label,,,Atari 2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
River Raid,,,,NTSC,No,Yes,No,No,No,Fair, $10.00 ,Wear To Label,,,Atari 2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Star Wars: The Empire Strike Back,,,,NTSC,No,Yes,No,No,No,Fair, $8.94 ,Some Wear To Label. Someone Wrote Their Name On It,,,Atari 2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frogger,,,,NTSC,No,Yes,No,No,No,Good, $6.52 ,,,,Atari 2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reactor,,,,NTSC,No,Yes,No,No,No,Okay, $6.73 ,Lot of wear to label. Has to be taped on.,,,Atari 2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dodge 'Em,,,,NTSC,No,Yes,No,No,No,Okay, $4.16 ,Lot of wear to label. Top label missing,,,Atari 2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ms. Pac-Man,,,,NTSC,No,Yes,No,No,No,Fair, $6.55 ,Wear To Label. Top Label Missing.,,,Atari 2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demon Attack,,,,NTSC,No,Yes,No,No,No,Okay, $3.76 ,Lot of wear to table.,,,Atari 2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breakout,,,,NTSC,No,Yes,No,No,No,Good, $4.39 ,Some wear to label,,,Atari 2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picnic,,,,NTSC,No,Yes,No,No,No,Fair, $10.00 ,"Some wear to label., Rattles",,,Atari 2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Room of Doom,,,,NTSC,No,Yes,No,No,No,Fair, $29.39 ,Wear to label.,,,Atari 2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combat,,,,NTSC,No,Yes,No,No,No,Fair, $1.93 ,Wear to label,,,Atari 2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battlezone,,,,NTSC,No,Yes,No,No,No,Good, $6.44 ,,,,Atari 2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defender,,,,NTSC,No,Yes,No,No,No,Fair, $4.00 ,Wear to label,,,Atari 2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dig Dug,,,,NTSC,No,Yes,No,No,No,Fair, $5.05 ,Some damage to top label,,,Atari 2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yars' Revenge,,,,NTSC,No,Yes,No,No,No,Okay, $2.99 ,Part of top label torn. Wear to label.,,,Atari 2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pac-Man,,,,NTSC,No,Yes,No,No,No,Fair, $4.88 ,Wear to label,,,Atari 2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warlords,,,,NTSC,No,Yes,No,No,No,Okay, $3.55 ,Wear to front label. Top label missing,,,Atari 2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centipede,,,,NTSC,No,Yes,No,No,No,Fair, $5.00 ,Wear to front label. Top label missing,,,Atari 2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galaxian,,,,NTSC,No,Yes,No,No,No,Good, $8.95 ,,,,Atari 2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Video Pinball,,,,NTSC,No,Yes,No,No,No,Okay, $3.98 ,Front Label Taped Down. Misssing top  label,,,Atari 2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crystal Castles,,,,NTSC,No,Yes,No,No,No,Okay, $6.99 ,Front Label Damage,,,Atari 2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chopper Command,,,,NTSC,No,Yes,No,No,No,Okay, $4.99 ,Label Taped Down. Damage. Wear,,,Atari 2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air-Sea Battle,,,,NTSC,No,Yes,No,No,No,Fair, $4.94 ,Wear. Labels Taped Down,,,Atari 2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raiders of the Lost Ark,,,,NTSC,No,Yes,No,No,No,Good, $6.40 ,Wear To Labels,,,Atari 2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pole Position,,,,NTSC,No,Yes,No,No,No,Fair, $4.70 ,Damage to front label. Top label little loose,,,Atari 2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pitfall!,,,,NTSC,No,Yes,No,No,No,Fair, $12.98 ,Wear and damage to label,,,Atari 2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteroids,,,,NTSC,No,Yes,No,No,No,Fair, $3.43 ,Wear To Labels,,,Atari 2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q*bert,,,,NTSC,No,Yes,No,No,No,Okay, $5.84 ,Label Taped Down. Damage. Wear,,,Atari 2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Super Breakout,,,,NTSC,No,Yes,No,No,No,Fair, $4.04 ,Wear To Labels,,,Atari 2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missile Command,,,,NTSC,No,Yes,No,No,No,Fair, $3.83 ,Top Label Taped Down. Wear To Labels,,,Atari 2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pitfall II: Lost Caverns,,,,NTSC,No,Yes,No,No,No,Fair, $29.79 ,Wear to label. Someone wrote their name on it,,,Atari 2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donkey Kong,,,,NTSC,No,Yes,No,No,No,Fair, $5.73 ,Wear to label,,,Atari 2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berzerk,,,,NTSC,No,Yes,No,No,No,Fair, $3.00 ,Front Label Taped Down. Misssing top  label,,,Atari 2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armor Ambush,,,,NTSC,No,Yes,No,No,No,Fair, $3.80 ,Top Label Taped Down. Wear To Labels,,,Atari 2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basketball,,,,NTSC,No,Yes,No,No,No,Fair, $4.49 ,Missing Top Label.,,,Atari 2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indy 500,,,,NTSC,No,Yes,No,No,No,Fair, $7.09 ,Missing Top Label.,,,Atari 2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanguard,,,,NTSC,No,Yes,No,No,No,Fair, $4.97 ,Missing Top Label.,,,Atari 2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fast Eddie,,,,NTSC,No,Yes,No,No,No,Fair, $14.20 ,Wear To Label.,,,Atari 2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pac-Man,,,9/8/2017,NTSC,No,Yes,No,No,No,Good,,Sticker On Back,,,Atari 8-Bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Star Wars Dark Forces,,,,US,No,Yes,Yes,Yes,No,Good,,Big Box,,,MS-DOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Star Wars Tie Fighter,,,,US,No,Yes,Yes,Yes,No,Very Good,,Big Box,,,MS-DOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Baron/A10 Tank Killer,,,,US,No,Yes,Yes,Yes,No,Good,,Big Box,,,MS-DOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Dagger Of Amon Ra,,,,US,No,Yes,Yes,Yes,No,Good,,Floppy. Big Box,,,MS-DOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Under A Killing Moon,,,,US,No,Yes,No,Yes,No,Good,,,,,MS-DOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Complete Ultima VII,,,,US,No,Yes,No,No,No,Good,,In Generic Jewel Case,,,MS-DOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King's Quest V,,,,US,No,Yes,Yes,Yes,No,Very Good,,CD-ROM,,,MS-DOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Knight: Sins of the Father,,,,US,No,Yes,No,Yes,No,Good,,CD-ROM,,,MS-DOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
